临沂电信组播,#genre#
哈哈炫动,http://144.52.146.229:5002/udp/239.21.1.51:5002
海看,http://144.52.146.229:5002/udp/239.21.1.96:5002
海看爱宠,http://144.52.146.229:5002/udp/239.21.1.85:5002
海看大片,http://144.52.146.229:5002/udp/239.21.1.99:5002
海看大片,http://144.52.146.229:5002/udp/239.21.1.121:5002
海看电竞,http://144.52.146.229:5002/udp/239.21.1.135:5002
海看电竞 LD,http://144.52.146.229:5002/udp/239.21.1.191:5002
海看儿歌,http://144.52.146.229:5002/udp/239.21.1.86:5002
海看剧场,http://144.52.146.229:5002/udp/239.21.1.98:5002
海看热播,http://144.52.146.229:5002/udp/239.21.1.100:5002
海看少儿,http://144.52.146.229:5002/udp/239.21.1.97:5002
海南卫视,http://144.52.146.229:5002/udp/239.21.1.31:5002
海南卫视,http://144.52.146.229:5002/udp/239.21.2.14:5002
河北卫视,http://144.52.146.229:5002/udp/239.21.1.35:5002
河北卫视,http://144.52.146.229:5002/udp/239.21.1.168:5002
河南卫视,http://144.52.146.229:5002/udp/239.21.1.38:5002
河南卫视,http://144.52.146.229:5002/udp/239.21.2.37:5002
菏泽,http://144.52.146.229:5002/udp/239.21.1.103:5002
菏泽2,http://144.52.146.229:5002/udp/239.21.2.18:5002
黑龙江卫视,http://144.52.146.229:5002/udp/239.21.1.28:5002
黑龙江卫视,http://144.52.146.229:5002/udp/239.21.1.91:5002
湖北卫视,http://144.52.146.229:5002/udp/239.21.1.32:5002
湖北卫视,http://144.52.146.229:5002/udp/239.21.1.163:5002
湖南卫视,http://144.52.146.229:5002/udp/239.21.1.18:5002
湖南卫视,http://144.52.146.229:5002/udp/239.21.1.158:5002
环球旅游,http://144.52.146.229:5002/udp/239.21.2.40:5002
桓台,http://144.52.146.229:5002/udp/239.21.1.105:5002
惠民综合,http://144.52.146.229:5002/udp/239.21.1.181:5002
吉林卫视,http://144.52.146.229:5002/udp/239.21.1.37:5002
吉林卫视,http://144.52.146.229:5002/udp/239.21.2.49:5002
纪实人文,http://144.52.146.229:5002/udp/239.21.1.195:5002
济南都市,http://144.52.146.229:5002/udp/239.21.1.63:5002
济南教育,http://144.52.146.229:5002/udp/239.21.1.133:5002
济南科教,http://144.52.146.229:5002/udp/239.21.1.150:5002
济南鲁中,http://144.52.146.229:5002/udp/239.21.1.149:5002
济南商务,http://144.52.146.229:5002/udp/239.21.1.67:5002
济南少儿,http://144.52.146.229:5002/udp/239.21.1.68:5002
济南生活,http://144.52.146.229:5002/udp/239.21.1.64:5002
济南新闻,http://144.52.146.229:5002/udp/239.21.1.62:5002
济南新闻,http://144.52.146.229:5002/udp/239.21.1.94:5002
济南影视,http://144.52.146.229:5002/udp/239.21.1.65:5002
济南娱乐,http://144.52.146.229:5002/udp/239.21.1.66:5002
济宁公共,http://144.52.146.229:5002/udp/239.21.2.20:5002
济宁教育,http://144.52.146.229:5002/udp/239.21.1.139:5002
济宁综合,http://144.52.146.229:5002/udp/239.21.1.138:5002
济宁综合,http://144.52.146.229:5002/udp/239.21.2.19:5002
济阳综合,http://144.52.146.229:5002/udp/239.21.1.187:5002
嘉佳卡通,http://144.52.146.229:5002/udp/239.21.2.5:5002
江苏卫视,http://144.52.146.229:5002/udp/239.21.1.19:5002
江苏卫视,http://144.52.146.229:5002/udp/239.21.1.89:5002
江西卫视,http://144.52.146.229:5002/udp/239.21.1.36:5002
江西卫视,http://144.52.146.229:5002/udp/239.21.1.167:5002
金乡新闻,http://144.52.146.229:5002/udp/239.21.1.184:5002
金鹰纪实,http://144.52.146.229:5002/udp/239.21.1.170:5002
金鹰纪实 LD,http://144.52.146.229:5002/udp/239.21.1.196:5002
金鹰卡通,http://144.52.146.229:5002/udp/239.21.1.48:5002
精选,http://144.52.146.229:5002/udp/239.21.1.213:5002
巨野新闻,http://144.52.146.229:5002/udp/239.21.1.215:5002
莱西综合,http://144.52.146.229:5002/udp/239.21.1.247:5002
兰陵综合,http://144.52.146.229:5002/udp/239.21.1.237:5002
梁山新闻,http://144.52.146.229:5002/udp/239.21.2.12:5002
辽宁卫视,http://144.52.146.229:5002/udp/239.21.1.27:5002
辽宁卫视,http://144.52.146.229:5002/udp/239.21.1.164:5002
聊城公共,http://144.52.146.229:5002/udp/239.21.1.254:5002
聊城综合,http://144.52.146.229:5002/udp/239.21.1.253:5002
陵城新闻,http://144.52.146.229:5002/udp/239.21.2.24:5002
美人,http://144.52.146.229:5002/udp/239.21.1.132:5002
蒙阴,http://144.52.146.229:5002/udp/239.21.2.23:5002
墨宝,http://144.52.146.229:5002/udp/239.21.1.130:5002
牟平生活,http://144.52.146.229:5002/udp/239.21.2.11:5002
牟平新闻,http://144.52.146.229:5002/udp/239.21.2.10:5002
内蒙古卫视,http://144.52.146.229:5002/udp/239.21.1.41:5002
宁津新闻,http://144.52.146.229:5002/udp/239.21.2.50:5002
宁夏卫视,http://144.52.146.229:5002/udp/239.21.1.44:5002
宁阳1,http://144.52.146.229:5002/udp/239.21.1.143:5002
宁阳2,http://144.52.146.229:5002/udp/239.21.1.144:5002
农林卫视,http://144.52.146.229:5002/udp/239.21.1.235:5002
平度新闻,http://144.52.146.229:5002/udp/239.21.1.228:5002
平阴综合,http://144.52.146.229:5002/udp/239.21.1.221:5002
平原新闻,http://144.52.146.229:5002/udp/239.21.1.243:5002
栖霞综合,http://144.52.146.229:5002/udp/239.21.1.229:5002
齐河新闻,http://144.52.146.229:5002/udp/239.21.1.230:5002
青岛1,http://144.52.146.229:5002/udp/239.21.1.69:5002
青岛2,http://144.52.146.229:5002/udp/239.21.1.70:5002
青岛3,http://144.52.146.229:5002/udp/239.21.1.71:5002
青岛4,http://144.52.146.229:5002/udp/239.21.1.72:5002
青岛5,http://144.52.146.229:5002/udp/239.21.1.73:5002
青岛6,http://144.52.146.229:5002/udp/239.21.1.74:5002
青海卫视,http://144.52.146.229:5002/udp/239.21.1.43:5002
青州文化旅游,http://144.52.146.229:5002/udp/239.21.1.231:5002
青州综合,http://144.52.146.229:5002/udp/239.21.1.232:5002
曲阜新闻,http://144.52.146.229:5002/udp/239.21.1.225:5002
日照莒县TV-1,http://144.52.146.229:5002/udp/239.21.1.236:5002
日照科教,http://144.52.146.229:5002/udp/239.21.1.80:5002
日照岚山,http://144.52.146.229:5002/udp/239.21.1.209:5002
日照新闻,http://144.52.146.229:5002/udp/239.21.1.79:5002
荣成综合,http://144.52.146.229:5002/udp/239.21.1.227:5002
乳山,http://144.52.146.229:5002/udp/239.21.1.220:5002
三沙卫视,http://144.52.146.229:5002/udp/239.21.2.9:5002
厦门卫视,http://144.52.146.229:5002/udp/239.21.2.6:5002
山东国际,http://144.52.146.229:5002/udp/239.21.1.61:5002
山东教育,http://144.52.146.229:5002/udp/239.21.1.101:5002
山东教育,http://144.52.146.229:5002/udp/239.21.1.169:5002
山东居家购物,http://144.52.146.229:5002/udp/239.21.1.112:5002
山东农科,http://144.52.146.229:5002/udp/239.21.1.59:5002
山东农科,http://144.52.146.229:5002/udp/239.21.1.183:5002
山东齐鲁,http://144.52.146.229:5002/udp/239.21.1.53:5002
山东齐鲁,http://144.52.146.229:5002/udp/239.21.1.134:5002
山东少儿,http://144.52.146.229:5002/udp/239.21.1.60:5002
山东少儿,http://144.52.146.229:5002/udp/239.21.1.208:5002
山东生活,http://144.52.146.229:5002/udp/239.21.1.56:5002
山东生活,http://144.52.146.229:5002/udp/239.21.1.175:5002
山东体育,http://144.52.146.229:5002/udp/239.21.1.58:5002
山东体育,http://144.52.146.229:5002/udp/239.21.1.141:5002
山东卫视,http://144.52.146.229:5002/udp/239.21.1.52:5002
山东卫视,http://144.52.146.229:5002/udp/239.21.1.87:5002
山东文旅,http://144.52.146.229:5002/udp/239.21.1.57:5002
山东文旅,http://144.52.146.229:5002/udp/239.21.1.176:5002
山东新闻,http://144.52.146.229:5002/udp/239.21.1.54:5002
山东新闻,http://144.52.146.229:5002/udp/239.21.1.140:5002
山东综艺,http://144.52.146.229:5002/udp/239.21.1.55:5002
山东综艺,http://144.52.146.229:5002/udp/239.21.1.177:5002
山西卫视,http://144.52.146.229:5002/udp/239.21.1.33:5002
陕西卫视,http://144.52.146.229:5002/udp/239.21.1.30:5002
上海纪实,http://144.52.146.229:5002/udp/239.21.1.171:5002
莘县,http://144.52.146.229:5002/udp/239.21.1.211:5002
深圳卫视,http://144.52.146.229:5002/udp/239.21.1.25:5002
深圳卫视,http://144.52.146.229:5002/udp/239.21.1.93:5002
生态环境,http://144.52.146.229:5002/udp/239.21.2.42:5002
寿光蔬菜,http://144.52.146.229:5002/udp/239.21.1.218:5002
四川卫视,http://144.52.146.229:5002/udp/239.21.1.34:5002
四川卫视,http://144.52.146.229:5002/udp/239.21.2.15:5002
四海钓鱼,http://144.52.146.229:5002/udp/239.21.2.38:5002
滕州综合,http://144.52.146.229:5002/udp/239.21.1.178:5002
体育赛事,http://144.52.146.229:5002/udp/239.21.2.44:5002
天津卫视,http://144.52.146.229:5002/udp/239.21.1.22:5002
天津卫视,http://144.52.146.229:5002/udp/239.21.1.165:5002
潍坊1,http://144.52.146.229:5002/udp/239.21.1.77:5002
潍坊2,http://144.52.146.229:5002/udp/239.21.1.78:5002
潍坊寿光新闻,http://144.52.146.229:5002/udp/239.21.1.180:5002
文登,http://144.52.146.229:5002/udp/239.21.1.174:5002
无棣综合,http://144.52.146.229:5002/udp/239.21.1.214:5002
五莲新闻,http://144.52.146.229:5002/udp/239.21.1.249:5002
武城新闻,http://144.52.146.229:5002/udp/239.21.1.239:5002
武城影视,http://144.52.146.229:5002/udp/239.21.1.240:5002
西藏卫视,http://144.52.146.229:5002/udp/239.21.1.46:5002
喜剧影院,http://144.52.146.229:5002/udp/239.21.1.122:5002
夏津公共,http://144.52.146.229:5002/udp/239.21.1.102:5002
夏津综合,http://144.52.146.229:5002/udp/239.21.1.106:5002
新疆卫视,http://144.52.146.229:5002/udp/239.21.1.45:5002
新泰乡村,http://144.52.146.229:5002/udp/239.21.1.248:5002
新泰新闻,http://144.52.146.229:5002/udp/239.21.1.210:5002
新闻综合,http://144.52.146.229:5002/udp/239.21.1.193:5002
烟台公共,http://144.52.146.229:5002/udp/239.21.1.117:5002
烟台经济,http://144.52.146.229:5002/udp/239.21.1.205:5002
烟台新闻,http://144.52.146.229:5002/udp/239.21.1.116:5002
烟台影视,http://144.52.146.229:5002/udp/239.21.1.204:5002
兖州新闻,http://144.52.146.229:5002/udp/239.21.1.224:5002
阳信新闻,http://144.52.146.229:5002/udp/239.21.1.252:5002
优漫卡通,http://144.52.146.229:5002/udp/239.21.1.50:5002
优优宝贝,http://144.52.146.229:5002/udp/239.21.2.41:5002
禹城综合,http://144.52.146.229:5002/udp/239.21.1.241:5002
禹城综艺,http://144.52.146.229:5002/udp/239.21.1.242:5002
云南卫视,http://144.52.146.229:5002/udp/239.21.1.40:5002
郓城新闻,http://144.52.146.229:5002/udp/239.21.1.251:5002
沾化综合,http://144.52.146.229:5002/udp/239.21.1.226:5002
长清新闻,http://144.52.146.229:5002/udp/239.21.1.107:5002
浙江卫视,http://144.52.146.229:5002/udp/239.21.1.17:5002
浙江卫视,http://144.52.146.229:5002/udp/239.21.1.90:5002
中国交通,http://144.52.146.229:5002/udp/239.21.1.115:5002
中华特产,http://144.52.146.229:5002/udp/239.21.2.43:5002
重庆卫视,http://144.52.146.229:5002/udp/239.21.1.24:5002
重庆卫视,http://144.52.146.229:5002/udp/239.21.1.233:5002
诸城新闻,http://144.52.146.229:5002/udp/239.21.1.217:5002
淄博都市,http://144.52.146.229:5002/udp/239.21.1.83:5002
淄博公共,http://144.52.146.229:5002/udp/239.21.1.182:5002
淄博科教,http://144.52.146.229:5002/udp/239.21.1.110:5002
淄博生活,http://144.52.146.229:5002/udp/239.21.1.109:5002
淄博新闻,http://144.52.146.229:5002/udp/239.21.1.84:5002
淄博沂源新闻,http://144.52.146.229:5002/udp/239.21.1.114:5002
综合测试,http://144.52.146.229:5002/udp/239.21.1.203:5002
邹城新闻,http://144.52.146.229:5002/udp/239.21.1.185:5002
足球,http://144.52.146.229:5002/udp/239.21.1.162:5002
101号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.101:5002
102号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.102:5002
103号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.103:5002
104号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.104:5002
105号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.105:5002
107号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.107:5002
108号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.108:5002
109号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.109:5002
110号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.110:5002
111号[785*576],http://144.52.146.229:5002/udp/239.21.2.111:5002
112号[768*576],http://144.52.146.229:5002/udp/239.21.2.112:5002
115号[768*576],http://144.52.146.229:5002/udp/239.21.2.115:5002
116号[768*576],http://144.52.146.229:5002/udp/239.21.2.116:5002
117号[768*576],http://144.52.146.229:5002/udp/239.21.2.117:5002
118号[768*576],http://144.52.146.229:5002/udp/239.21.2.118:5002
119号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.119:5002
120号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.120:5002
121号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.121:5002
122号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.122:5002
123号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.123:5002
129号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.129:5002
130号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.130:5002
131号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.131:5002
132号[768*576],http://144.52.146.229:5002/udp/239.21.2.132:5002
133号[768*576],http://144.52.146.229:5002/udp/239.21.2.133:5002
134号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.134:5002
135号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.135:5002
160号[1920*1080],http://144.52.146.229:5002/udp/239.21.1.160:5002
223号[1920*1080],http://144.52.146.229:5002/udp/239.21.1.223:5002
26号[768*576],http://144.52.146.229:5002/udp/239.21.2.26:5002
51号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.51:5002
52号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.52:5002
53号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.53:5002
55号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.55:5002
56号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.56:5002
57号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.57:5002
58号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.58:5002
59号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.59:5002
60号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.60:5002
61号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.61:5002
62号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.62:5002
63号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.63:5002
64号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.64:5002
65号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.65:5002
66号[768*576],http://144.52.146.229:5002/udp/239.21.2.66:5002
68号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.68:5002
71号[3840*2160],http://144.52.146.229:5002/udp/239.21.2.71:5002
77号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.77:5002
79号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.79:5002
80号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.80:5002
81号[785*576],http://144.52.146.229:5002/udp/239.21.2.81:5002
82号[785*576],http://144.52.146.229:5002/udp/239.21.2.82:5002
83号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.83:5002
84号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.84:5002
85号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.85:5002
86号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.86:5002
87号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.87:5002
88号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.88:5002
89号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.89:5002
90号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.90:5002
91号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.91:5002
92号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.92:5002
93号[768*576],http://144.52.146.229:5002/udp/239.21.2.93:5002
94号[785*576],http://144.52.146.229:5002/udp/239.21.2.94:5002
95号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.95:5002
96号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.96:5002
97号[1920*1080],http://144.52.146.229:5002/udp/239.21.2.97:5002
98号[768*576],http://144.52.146.229:5002/udp/239.21.2.98:5002
99号[768*576],http://144.52.146.229:5002/udp/239.21.2.99:5002
日照联通组播,#genre#
CCTV1高清,http://123.129.161.251:8888/udp/239.253.224.77:8000
CCTV2高清,http://123.129.161.251:8888/udp/239.253.224.234:8000
CCTV3,http://123.129.161.251:8888/udp/239.253.224.4:8000
CCTV4,http://123.129.161.251:8888/udp/239.253.224.111:8000
CCTV5,http://123.129.161.251:8888/udp/239.253.224.6:8000
CCTV5+高清,http://123.129.161.251:8888/udp/239.253.224.80:8000
CCTV6,http://123.129.161.251:8888/udp/239.253.224.7:8000
CCTV7高清,http://123.129.161.251:8888/udp/239.253.224.235:8000
CCTV8,http://123.129.161.251:8888/udp/239.253.224.9:8000
CCTV9高清,http://123.129.161.251:8888/udp/239.253.224.79:8000
CCTV10高清,http://123.129.161.251:8888/udp/239.253.224.236:8000
CCTV11,http://123.129.161.251:8888/udp/239.253.224.12:8000
CCTV12,http://123.129.161.251:8888/udp/239.253.224.237:8000
CCTV13,http://123.129.161.251:8888/udp/239.253.224.14:8000
CCTV14,http://123.129.161.251:8888/udp/239.253.224.238:8000
CCTV15,http://123.129.161.251:8888/udp/239.253.224.16:8000
CCTV17,http://123.129.161.251:8888/udp/239.253.224.168:8000
CGTV,http://123.129.161.251:8888/udp/239.253.224.17:8000
CETV1,http://123.129.161.251:8888/udp/239.253.224.110:8000
CETV2,http://123.129.161.251:8888/udp/239.253.224.107:8000
CETV4,http://123.129.161.251:8888/udp/239.253.224.108:8000
山东卫视高清,http://123.129.161.251:8888/udp/239.253.224.78:8000
湖南卫视高清,http://123.129.161.251:8888/udp/239.253.224.82:8000
江苏卫视高清,http://123.129.161.251:8888/udp/239.253.224.83:8000
浙江卫视高清,http://123.129.161.251:8888/udp/239.253.224.84:8000
北京卫视高清,http://123.129.161.251:8888/udp/239.253.224.85:8000
东方卫视高清,http://123.129.161.251:8888/udp/239.253.224.86:8000
安徽卫视高清,http://123.129.161.251:8888/udp/239.253.224.87:8000
湖北卫视高清,http://123.129.161.251:8888/udp/239.253.224.88:8000
天津卫视高清,http://123.129.161.251:8888/udp/239.253.224.89:8000
广东卫视高清,http://123.129.161.251:8888/udp/239.253.224.90:8000
深圳卫视高清,http://123.129.161.251:8888/udp/239.253.224.91:8000
辽宁卫视高清,http://123.129.161.251:8888/udp/239.253.224.92:8000
黑龙江卫视高清,http://123.129.161.251:8888/udp/239.253.224.93:8000
东南卫视高清,http://123.129.161.251:8888/udp/239.253.224.105:8000
旅游卫视,http://123.129.161.251:8888/udp/239.253.224.35:8000
重庆卫视,http://123.129.161.251:8888/udp/239.253.224.38:8000
广西卫视,http://123.129.161.251:8888/udp/239.253.224.40:8000
云南卫视,http://123.129.161.251:8888/udp/239.253.224.42:8000
河南卫视,http://123.129.161.251:8888/udp/239.253.224.44:8000
吉林卫视,http://123.129.161.251:8888/udp/239.253.224.46:8000
江西卫视,http://123.129.161.251:8888/udp/239.253.224.47:8000
山西卫视,http://123.129.161.251:8888/udp/239.253.224.48:8000
陕西卫视,http://123.129.161.251:8888/udp/239.253.224.49:8000
四川卫视,http://123.129.161.251:8888/udp/239.253.224.50:8000
甘肃卫视,http://123.129.161.251:8888/udp/239.253.224.52:8000
宁夏卫视,http://123.129.161.251:8888/udp/239.253.224.53:8000
青海卫视,http://123.129.161.251:8888/udp/239.253.224.54:8000
西藏卫视,http://123.129.161.251:8888/udp/239.253.224.56:8000
兵团卫视,http://123.129.161.251:8888/udp/239.253.224.57:8000
内蒙古卫视,http://123.129.161.251:8888/udp/239.253.224.58:8000
山东教育卫视,http://123.129.161.251:8888/udp/239.253.224.59:8000
新疆卫视,http://123.129.161.251:8888/udp/239.253.224.60:8000
农林卫视,http://123.129.161.251:8888/udp/239.253.224.70:8000
河北卫视,http://123.129.161.251:8888/udp/239.253.224.112:8000
贵州卫视,http://123.129.161.251:8888/udp/239.253.224.113:8000
厦门卫视,http://123.129.161.251:8888/udp/239.253.224.106:8000
齐鲁频道,http://123.129.161.251:8888/udp/239.253.224.18:8000
山东影视,http://123.129.161.251:8888/udp/239.253.224.19:8000
山东生活,http://123.129.161.251:8888/udp/239.253.224.20:8000
山东综艺,http://123.129.161.251:8888/udp/239.253.224.21:8000
山东体育,http://123.129.161.251:8888/udp/239.253.224.22:8000
山东公共,http://123.129.161.251:8888/udp/239.253.224.23:8000
山东农科,http://123.129.161.251:8888/udp/239.253.224.24:8000
山东少儿,http://123.129.161.251:8888/udp/239.253.224.25:8000
